One “master” query: tables + columns + PK + FK + data types + defaults,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SchemaName,TableName,ColumnOrder,ColumnName,DataType,IsNullable,IsIdentity,IsComputed,DefaultDefinition,PrimaryKeyOrdinal,FK_Name,RefSchema,RefTable,RefColumn,ColumnDescription
dbo,AP_CONTROL,12,ACT_PERIOD_DESCRIPTION_2,varchar(12),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,13,ACT_PERIOD_DESCRIPTION_3,varchar(12),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,14,ACT_PERIOD_DESCRIPTION_4,varchar(12),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,15,ACT_LAST_VOUCHER_NUMBER,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,16,ACT_LAST_CHECK_NUMBER,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,17,ACT_COMPANY_NAME_ON_CHECK_FLAG,bit,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,18,ACT_CHECK_NUMBER_LOC,bit,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,19,ACT_VENDOR_HISTORY_FLAG,bit,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,20,ACT_CUT_OFF_DATE,datetime,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,21,ACT_PAYMENT_DATE,datetime,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,22,ACT_NEXT_PAYMENT_DATE,datetime,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,23,ACT_PRINT_1099_FLAG,bit,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,24,ACT_1099_YEAR_END_DATE,datetime,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,25,ACT_FEDERAL_ID_NUMBER,varchar(9),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,26,ACT_FEDERAL_ID_NUMBER_TYPE,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,27,ACT_LAST_INTEGRITY_REPORT_DATE,datetime,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,28,ACT_PREV_NUMBER_VENDOR_RECS,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,29,ACT_NUMBER_VENDOR_ADDED,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,30,ACT_NUMBER_VENDOR_DELETED,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,31,ACT_PREV_OPEN_FILE_TOTAL_BAL,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,32,ACT_AP_OPEN_ADDED_AMOUNT,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,33,ACT_AP_OPEN_DELETED_AMOUNT,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,34,ACT_PREV_DIST_TOTAL_BALANCE,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CONTROL,35,ACT_CHANGE_LOG_PURGE_NUMBER,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_DISTRIBUTION,1,APD_COMPANY_ID,int,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_DISTRIBUTION,2,APD_WAREHOUSE_NUMBER,int,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_DISTRIBUTION,3,APD_DISTRIBUTION_TYPE,int,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_DISTRIBUTION,4,APD_ACCOUNT_NUMBER,int,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
